0    [main] INFO  org.eclipse.jetty.server.Server  – jetty-8.1.10.v20130312
48   [main] INFO  org.eclipse.jetty.deploy.providers.ScanningAppProvider  – Deployment monitor /workspaces/solr/solr-4.10.4/example/contexts at interval 0
58   [main] INFO  org.eclipse.jetty.deploy.DeploymentManager  – Deployable added: /workspaces/solr/solr-4.10.4/example/contexts/solr-jetty-context.xml
1879 [main] INFO  org.eclipse.jetty.webapp.StandardDescriptorProcessor  – NO JSP Support for /solr, did not find org.apache.jasper.servlet.JspServlet
2067 [main] INFO  org.apache.solr.servlet.SolrDispatchFilter  – SolrDispatchFilter.init()
2147 [main] INFO  org.apache.solr.core.SolrResourceLoader  – JNDI not configured for solr (NoInitialContextEx)
2148 [main] INFO  org.apache.solr.core.SolrResourceLoader  – using system property solr.solr.home: /workspaces/solr/solr-4.10.4/example/solr
2150 [main] INFO  org.apache.solr.core.SolrResourceLoader  – new SolrResourceLoader for directory: '/workspaces/solr/solr-4.10.4/example/solr/'
2342 [main] INFO  org.apache.solr.core.ConfigSolr  – Loading container configuration from /workspaces/solr/solr-4.10.4/example/solr/solr.xml
2696 [main] INFO  org.apache.solr.core.CoresLocator  – Config-defined core root directory: /workspaces/solr/solr-4.10.4/example/solr
2711 [main] INFO  org.apache.solr.core.CoreContainer  – New CoreContainer 690052870
2712 [main] INFO  org.apache.solr.core.CoreContainer  – Loading cores into CoreContainer [instanceDir=/workspaces/solr/solr-4.10.4/example/solr/]
2759 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting socketTimeout to: 0
2760 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting urlScheme to: null
2765 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting connTimeout to: 0
2765 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting maxConnectionsPerHost to: 20
2768 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting corePoolSize to: 0
2768 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting maximumPoolSize to: 2147483647
2769 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting maxThreadIdleTime to: 5
2769 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting sizeOfQueue to: -1
2770 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting fairnessPolicy to: false
2770 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting useRetries to: false
2983 [main] INFO  org.apache.solr.update.UpdateShardHandler  – Creating UpdateShardHandler HTTP client with params: socketTimeout=0&connTimeout=0&retry=true
2985 [main] INFO  org.apache.solr.logging.LogWatcher  – SLF4J impl is org.slf4j.impl.Log4jLoggerFactory
2986 [main] INFO  org.apache.solr.logging.LogWatcher  – Registering Log Listener [Log4j (org.slf4j.impl.Log4jLoggerFactory)]
2988 [main] INFO  org.apache.solr.core.CoreContainer  – Host Name: 
3039 [main] INFO  org.apache.solr.core.CoresLocator  – Looking for core definitions underneath /workspaces/solr/solr-4.10.4/example/solr
3085 [main] INFO  org.apache.solr.core.CoresLocator  – Found core collection1 in /workspaces/solr/solr-4.10.4/example/solr/collection1/
3086 [main] INFO  org.apache.solr.core.CoresLocator  – Found 1 core definitions
3140 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – new SolrResourceLoader for directory: '/workspaces/solr/solr-4.10.4/example/solr/collection1/'
3346 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.SolrConfig  – Adding specified lib dirs to ClassLoader
3358 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/workspaces/solr/solr-4.10.4/contrib/extraction/lib/apache-mime4j-core-0.7.2.jar' to classloader
